"Sex", "Weight (Sep)", "Weight (Apr)", "BMI (Sep)", "BMI (Apr)"
0, 72, 59, 22.02, 18.14
0, 97, 86, 19.70, 17.44
0, 74, 69, 24.09, 22.43
0, 93, 88, 26.97, 25.57
1, 68, 64, 21.51, 20.10
0, 59, 55, 18.69, 17.40
1, 64, 60, 24.24, 22.88
1, 56, 53, 21.23, 20.23
1, 70, 68, 30.26, 29.24
1, 58, 56, 21.88, 21.02
1, 50, 47, 17.63, 16.89
0, 71, 69, 24.57, 23.85
0, 67, 66, 20.68, 20.15
1, 56, 55, 20.97, 20.36
1, 70, 68, 27.30, 26.73
1, 61, 60, 23.30, 22.88
1, 53, 52, 19.48, 19.24
0, 92, 92, 24.74, 24.69
1, 57, 58, 20.69, 20.79
0, 67, 67, 20.49, 20.60
1, 58, 58, 21.09, 21.24
1, 49, 50, 18.37, 18.53
0, 68, 68, 22.40, 22.61
1, 69, 69, 28.17, 28.43
0, 87, 88, 23.60, 23.81
0, 81, 82, 26.52, 26.78
0, 60, 61, 18.89, 19.27
1, 52, 53, 19.31, 19.75
0, 70, 71, 20.96, 21.32
1, 63, 64, 21.78, 22.22
1, 56, 57, 19.78, 20.23
0, 68, 69, 22.40, 22.82
0, 68, 69, 22.76, 23.19
1, 54, 56, 20.15, 20.69
0, 80, 82, 22.14, 22.57
0, 64, 66, 20.27, 20.76
1, 57, 59, 22.15, 22.93
1, 63, 65, 23.87, 24.67
1, 54, 56, 18.61, 19.34
1, 56, 58, 21.73, 22.58
0, 54, 56, 18.93, 19.72
0, 73, 75, 25.88, 26.72
0, 77, 79, 28.59, 29.53
1, 63, 66, 21.89, 22.79
1, 51, 54, 18.31, 19.28
1, 59, 62, 19.64, 20.63
1, 65, 68, 23.02, 24.10
1, 53, 56, 20.63, 21.91
1, 62, 65, 22.61, 23.81
1, 55, 58, 22.03, 23.42
0, 74, 77, 20.31, 21.34
0, 74, 78, 20.31, 21.36
0, 64, 68, 19.59, 20.77
0, 64, 68, 21.05, 22.31
1, 57, 61, 23.47, 25.11
1, 64, 68, 22.84, 24.29
1, 60, 64, 19.50, 20.90
0, 64, 68, 18.51, 19.83
0, 66, 71, 21.40, 22.97
1, 52, 57, 17.72, 19.42
0, 71, 77, 22.26, 23.87
1, 55, 60, 21.64, 23.81
0, 65, 71, 22.51, 24.45
0, 75, 82, 23.69, 25.80
1, 42, 49, 15.08, 17.74
0, 74, 82, 22.64, 25.33
0, 94, 105, 36.57, 40.86
